file,law_name,year,chapters,sections
administrator00607dfddff08b6d0a71b341f1667f23.json,"THE PAKISTAN STUDY CENTRES, ACT",1976,1,13
administrator0088a4e5781b74cea37ea233c4a2e2c5.json,THE CHURCH OF SCOTLAND KIRK SESSIONS ACT,1899,1,3
administrator00c80ea2ca2b4893b362c3c44bddafe2.json,THE ARMED FORCES (EMERGENCY DUTIES) ACT,1947,1,3
administrator0101918a1a0e6cdb96f6e0e8f3453767.json,THE NETWORK ANALYSER STUDY CENTRE (TRANSFER TO WAPDA) ORDINANCE,1983,1,4
administrator013dce43abb4246aff25c6c343830235.json,THE OFFENCE OF ZINA (ENFORCEMENT OF HUDOOD) ORDINANCE,1979,1,11
administrator0158e1a02138a940073e102386a7525a.json,THE OATHS ACT,1873,5,16
administrator02b600b49ea24e787b8b7a99aaf4202f.json,THE STANDARDS OF WEIGHT ACT,1939,1,6
administrator030cc282023223109516f8022bd6a802.json,"THE MANOEUVRES, FIELD FIRING AND ARTILLERY PRACTICE ACT",1938,3,11
administrator0316da7d3863efa4378a3c4e87a9e42f.json,"The Mines Maternity Benefit Act, 1941",1941,0,0
administrator03228293f22331aa4d74568d913399ac.json,THE PUNJAB LAWS ACT,1872,12,32
administrator0378b1efd2db788f7749c3f7f60824ab.json,"The Prevention of Anti-National Activities Act, 1974",1974,0,0
administrator03c531e7f7d81cd4c6261f24b42be93a.json,THE NON-PERFORMING ASSETS AND REHABILITATION OF INDUSTRIAL UNDERTAKINGS (LEGAL PROCEEDINGS) ORDINANCE,2000,1,21
administrator03eadfb5474bfa7c9e45ab4558d5a926.json,"The Sale of Goods Act, 1930",1930,0,0
administrator0449eaff2b216ed0348847b7647bb565.json,THE IDENTIFICATION OF PRISONERS ACT,1920,1,9
administrator0506da23281ece11e55cd37fe1f0c072.json,THE PAKISTAN MERCHANT SHIPPING ORDINANCE,2001,16,229
administrator0514adf6314402fef39409941c94e967.json,"Ah Act, 1991",1991,0,0
administrator053bfb0cec64bcd950340d22481b7407.json,THE PROVINCIAL SERVICE TRIBUNALS (EXTENSION OF PROVISIONS OF THE CONSTITUTION) ACT,1974,1,2
administrator05a7a8b2a11c238806313e31366151d3.json,THE MANAGED CEMENT ESTABLISHMENTS (PAYMENT TO CORPORATION) ORDINANCE,1979,2,6
administrator06b1dbf48a2c60132bc6e65ad3241ba1.json,THE FISHERIES ACT,1897,1,7
administrator06b4e2ee21cb218f3dd7196ff185f5a8.json,The Cotton Industry (Statistics) Act,1926,1,9
administrator0715715fcd90737ae3ae71cfc935fa6f.json,THE SUGAR-CANE ACT,1934,1,8
administrator07d9e49158ba80ccd546ad885d7ec6c5.json,THE DISABLED PERSONS (EMPLOYMENT AND REHABILITATION) ORDINANCE,1981,1,22
administrator084fe1e8bb9f566b2f0023574816a68f.json,"The Imports and Exports (Control) Act, 1950",1950,0,0
administrator08daaa3b42611022ec49c811a6a6cbda.json,"The Terrorist Affected Areas (Special Courts) Act, 1992",1992,0,0
administrator08faeb7132cfcd3cb0dfe82ca6b14120.json,The Cantonments (Requisitioning of Immoveable Property) Ordinance,1948,1,10
administrator0952b67af6050400c6dc486027660653.json,THE HIGH TREASON (PUNISHMENT) ACT,1973,1,3
administrator097759e0f2a16527881669c6e1435919.json,THE TRUSTS ACT,1882,10,98
administrator0996fad25a7b29006833282d1ee171a0.json,"The Korangi Fisheries Harbour Authority Ordinance, 1982",1982,0,0
administrator09e29cb08a9a7e554129b256e81b89fb.json,"Relief Act, 1879",1879,0,0
administrator09eb379c74fd78d1e0577baea5958731.json,The Requisitioned Land (Continuance of Powers) Ordinance,1969,1,10
administrator0a802e3468735238090ceede22ccfd11.json,"The Arbitration Act, 1940",1940,0,0
administrator0a85362fe08703aa3dd56b1d6bc349f1.json,THE EPIDEMIC DISEASES ACT,1897,1,5
administrator0a8911d25a8f2990d791513113b28c9d.json,Pakistan Medical and Dental Council Ordinance,1962,1,46
administrator0b76cb2fe668d9adcc52e221e05cf399.json,THE INTELLECTUAL PROPERTY ORGANIZATION OF PAKISTAN ACT,2012,1,39
administrator0c13b1a7f9b06c8d1d4b0e0f352ff4ba.json,THE CHILDREN (PLEDGING OF LABOUR) ACT,1933,1,6
administrator0c8370631eeb4ddf14d55a6f11cdd3be.json,THE EX-GOVERNMENT SERVANTS (EMPLOYMENT WITH FOREIGN GOVERNMENTS) (PROHIBITION) ACT,1966,1,4
administrator0c86b7462c4639789b27534aaadf1c27.json,THE TRAFFIC OFFENCES (SPECIAL COURTS) ORDINANCE,1981,1,7
administrator0ca6ad9e71e29aa62dce67b3f67aff45.json,"The Passports Act, 1974",1974,0,0
administrator0cb12b901d4304d7e5463da076d88639.json,THE CHILD MARRIAGE RESTRAINT ACT,1929,1,9
administrator0d00360b02f38387639f455f5ead73a3.json,"The Naval Armament Act, 1923",1923,0,0
administrator0d542ced233234c414aadc7686500a54.json,THE POLICE ACT,1888,1,4
administrator0d8373dfae195c4de13b0bd012416abb.json,THE PAKISTAN ELECTRONIC MEDIA REGULATORY AUTHORITY ORDINANCE,2002,3,4
administrator0dc721bb2bef23db45633e35e344ae27.json,THE SOCIETIES REGISTRATION ACT,1860,1,13
administrator0df06063881cf52f2af13170458519ee.json,THE PAKISTAN NATIONAL COUNCIL OF THE ARTS ACT,1973,1,11
administrator0dfab7f2b790bd796874a4852c6ec18f.json,"The Provincial Industrial Development Corporation (West Pakistan) Ordinance, 1962",1962,0,0
administrator0ec3cfea1b3f330a93b185f57df04634.json,"The Board of Investment Ordinance, 2001",2001,0,0
administrator0f037525851391debc0835ec00e84cbf.json,THE CHEMICAL FERTILIZERS (DEVELOPMENT SURCHARGE) ACT,1973,1,9
administrator0f28ec90593cc5ad5a87ecfdb07b9f8a.json,THE PROTECTION OF PORTS (SPECIAL MEASURES) ACT,1948,1,9
administrator0f29bc9f1e3dfed37c0034eed1e29d53.json,"The Registration Act, 1908",1908,0,0
administrator0fe839ca47be25af43e93b0624d381fa.json,"The Unani, Ayurvedic and Homoeopathic Practitioners Act, 1965",1965,0,0
administrator10b09c34cfd7e31b03898bd6ec49dfe9.json,"The Securities Act, 1920",1920,0,0
administrator10d4d0abed291f96ba657e253b662fbd.json,"THE CONTROLLER GENERAL OF ACCOUNTS (APPOINTMENT, FUNCTIONS AND POWERS) ORDINANCE",2001,1,13
administrator115eb4cdf42e26de22d5b390f8e63d51.json,THE GOVERNMENT GRANTS ACT,1895,1,3
administrator126e90f09560824ba1b1d42194599446.json,THE POISONS ACT,1919,1,10
administrator12cd47f04a73bf595c27325c7933ae84.json,THE RULES AND REGULATIONS CONTINUANCE ACT,1937,1,2
administrator12ef37744f5d96021a58218c02e3bde7.json,THE FUNDS VESTING IN THE PRESIDENT (TRANSFER) ACT,1973,1,2
administrator131b6e2a860ffda1d587fbd4bc73d116.json,THE SENATE (ELECTION) ACT,1975,8,75
administrator13327cab85e3eeb3b0dd160be6243103.json,THE PUBLIC GAMBLING ACT,1867,1,8
administrator137760b6514f08227cd187d4660d6da5.json,THE NATIONAL FUND FOR CULTURAL HERITAGE ACT,1994,1,10
administrator14691431731f3febeba4058852a3b178.json,Destruction of Records Act,1917,1,6
administrator14909d11f691ce6528aa55ab6c9aa891.json,THE DISCONTINUANCE OF MEDICAL REIMBURSEMENT ACT,1972,1,4
administrator1492862fd4c16e6ea36613c06089b692.json,THE CUTCHI MEMONS ACT,1938,1,4
administrator15055bd7e69390aaa2043b5a02be7d87.json,THE PAY-AS-YOU-EARN SCHEME ACT,1973,1,5
administrator156987c962fa6c15532c4e3a382980b8.json,THE STATE BANK OF PAKISTAN ACT,1956,5,12
administrator15e53c2db484572b555fac3ad9b24893.json,THE MARRIAGE FUNCTIONS (PROHIBITION OF OSTENTATIOUS DISPLAY AND WASTEFUL EXPENSES) ORDINANCE,2000,1,7
administrator165ac315d2401298f0e4c29fc62b16b5.json,THE SUITS VALUATION ACT,1887,3,12
administrator169829d77aa24cbd19baeb40776f2a89.json,THE PRISONERS ACT,1900,5,28
administrator16a64f92734a087c34a808294e416e15.json,"The Right To Free and Compulsory Education Act, 2012",2012,0,0
administrator17094efb999f9a865461eb1498175947.json,The Pakistan Environmental Protection Act,1997,1,34
administrator183bd5ab6b69cfd8ff0b4c2eb366597f.json,THE CIGARETTES (PRINTING OF WARNING) ORDINANCE,1979,1,8
administrator188d12d727924bc80f309f0efa79b351.json,THE KARACHI ELECTRICITY CONTROL ACT,1952,1,12
administrator193484c31f7b4b5c5cbd0aae5038201e.json,"The Bonded Labour System (Abolition) Act,1992",1992,0,0
administrator1a87cc04f2760565ff78e6c8d991c287.json,THE PUBLIC INVESTMENTS (FINANCIAL SAFEGUARDS) ORDINANCE,1960,1,11
administrator1b1941b93a9c3b995b38b93cdca874fe.json,THE RECOGNITION AND ENFORCEMENT (ARBITRATION AGREEMENT AND FOREIGN ARBITRAL AWARDS) ACT,2011,1,10
administrator1b5b9becb8d92cfaf75bd5000a05964c.json,"The Civil Pioneer Force Ordinance, 1965",1965,0,0
administrator1bc3ad732b91e47508abf826f2840d15.json,THE PETROLEUM PRODUCTS PETROLEUM LEVY AND CLIMATE SUPPORT LEVY ORDINANCE,1961,1,9
administrator1c780bc21fc1c4e01e81569e040d0016.json,THE ASSOCIATED CEMENT (VESTING) ACT,1974,1,12
administrator1c90220dff082736b76ee7037c41bd8c.json,The Notaries Ordinance,1961,1,16
administrator1c965c4e8c39cb3fb88c8d52c7a1a313.json,THE PAKISTAN INSURANCE CORPORATION (RE-ORGANIZATION) ORDINANCE,2000,1,7
administrator1cbd99cb7f8f339e9c392ec37738953f.json,THE NATIONAL HIGHWAY AUTHORITY ACT,1991,7,31
administrator1cdc2c1984d114c218b12002966d7eb5.json,THE PUBLIC ORDER (POLITICAL UNIFORMS) ORDINANCE,1958,1,6
administrator1da805862bf6082a4728551b67820fc9.json,Ehtram-e-Ramazan Ordinance,1981,1,10
administrator1df90f20cebe025427367ba96a4f1b62.json,"The North-West Frontier Constabulary Act, 1915",1915,0,0
administrator1e3813f2332b8766f11c84b8a33bc0fb.json,THE CENTRAL EXCISE DUTY ON SUGAR (VALIDATION) ORDINANCE,1979,1,2
administrator1f5f52f7d710ca51c7669f1fb3752d25.json,THE JAMMU AND KASHMIR (ADMINISTRATION OF PROPERTY) ORDINANCE,1961,1,13
administrator1ffec6691fbc17d3bb65499f38663e59.json,Law Commission Ordinance,1979,1,13
